Run_ID,Base_SIR,Base_SINR,Base_PESQ_NB,Base_PESQ_WB,Base_STOI,Raw_SIR,Raw_SINR,Raw_PESQ_NB,Raw_PESQ_WB,Raw_STOI,Gauss_SIR,Gauss_SINR,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,GAN_SIR,GAN_SINR,GAN_PESQ_NB,GAN_PESQ_WB,GAN_STOI
batch_test_5335,0.05,-2.08,1.319,1.032,0.671,20.11,9.70,1.954,1.241,0.767,14.88,8.70,1.929,1.236,0.757,N/A,N/A,N/A,N/A,N/A
batch_test_5336,0.01,-2.14,1.188,1.043,0.640,23.04,9.99,1.931,1.292,0.735,18.10,9.43,1.896,1.300,0.735,N/A,N/A,N/A,N/A,N/A
batch_test_5337,-0.02,-2.14,1.498,1.055,0.675,25.52,12.60,2.277,1.422,0.778,21.97,12.03,2.232,1.402,0.769,N/A,N/A,N/A,N/A,N/A
batch_test_5338,-0.03,-2.13,1.280,1.042,0.535,18.92,9.21,1.894,1.308,0.650,16.32,8.88,1.891,1.335,0.654,N/A,N/A,N/A,N/A,N/A
batch_test_5339,0.01,-2.10,1.373,1.049,0.550,19.51,6.66,1.937,1.212,0.713,13.46,6.25,1.902,1.221,0.694,N/A,N/A,N/A,N/A,N/A
batch_test_5340,12.82,4.15,1.525,1.105,0.737,34.27,14.39,2.688,1.895,0.814,33.37,14.18,2.641,1.891,0.807,N/A,N/A,N/A,N/A,N/A
batch_test_5341,-0.04,-2.15,1.186,1.023,0.736,24.16,11.76,2.134,1.391,0.829,17.74,10.75,2.033,1.358,0.825,N/A,N/A,N/A,N/A,N/A
batch_test_5342,-0.01,-2.12,1.267,1.051,0.710,22.36,10.53,1.976,1.327,0.819,17.42,9.93,1.965,1.333,0.816,N/A,N/A,N/A,N/A,N/A
batch_test_5343,-0.01,-2.14,1.138,1.040,0.720,64.89,13.28,1.910,1.437,0.772,63.47,12.96,1.898,1.393,0.774,N/A,N/A,N/A,N/A,N/A
batch_test_5344,0.02,-2.10,1.427,1.070,0.635,21.30,9.61,2.306,1.495,0.796,16.28,8.81,2.237,1.491,0.782,N/A,N/A,N/A,N/A,N/A
