Run_ID,Performance_Score,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,Gauss_SINR,Gauss_SIR
batch_test_637,0.6988191398137255,2.023,1.456,0.709,10.17,18.39
batch_test_4004,0.6987193180469347,2.082,1.402,0.669,7.87,17.14
batch_test_9818,0.6985248714926838,2.101,1.485,0.629,10.6,22.23
batch_test_3871,0.6984882411633867,1.868,1.362,0.733,9.73,18.82
batch_test_803,0.6984678299305482,2.247,1.52,0.759,7.45,13.95
batch_test_4589,0.6983331781235234,1.825,1.267,0.573,9.23,17.93
batch_test_8756,0.6981022691714681,2.135,1.615,0.699,11.16,21.1
batch_test_1292,0.6980792518425378,2.242,1.503,0.777,8.35,18.77
batch_test_9020,0.6980151554542952,1.898,1.346,0.721,8.3,17.43
batch_test_5842,0.6978543035054345,2.361,1.518,0.748,9.33,17.07
batch_test_8524,0.6976720016548583,1.936,1.397,0.682,8.85,18.87
batch_test_2401,0.6974957263940709,2.173,1.582,0.767,13.17,51.8
batch_test_3056,0.6974225422918153,2.062,1.478,0.803,7.83,15.52
batch_test_8773,0.6974135042123503,2.116,1.512,0.76,10.86,20.29
batch_test_7334,0.697401404054676,2.215,1.548,0.827,11.18,29.34
batch_test_4715,0.69728861053688,2.32,1.535,0.802,8.9,16.88
batch_test_5682,0.6971647350742882,2.038,1.428,0.704,9.83,17.35
batch_test_653,0.6971544353593333,1.992,1.381,0.66,8.0,15.92
batch_test_6376,0.6970675162079284,2.154,1.402,0.84,10.27,18.67
batch_test_5791,0.696852952697817,2.099,1.506,0.848,12.51,41.36
batch_test_209,0.6967067056267529,2.22,1.658,0.79,12.94,36.45
batch_test_8998,0.6966844979236181,2.3,1.541,0.876,12.16,36.7
batch_test_2490,0.696592538015437,1.913,1.337,0.836,9.74,17.98
batch_test_6892,0.6965701368890532,2.16,1.523,0.851,12.79,36.96
batch_test_5930,0.6964976578551036,2.183,1.527,0.787,9.13,16.33
batch_test_384,0.6964901891174217,2.244,1.44,0.733,9.13,16.78
batch_test_5919,0.6963355087470736,1.892,1.401,0.793,8.74,19.37
batch_test_4411,0.6962927825858466,1.949,1.4,0.858,10.13,19.67
batch_test_4695,0.6961188034910928,2.121,1.468,0.789,13.03,34.19
batch_test_2671,0.6952428931053644,2.12,1.721,0.818,11.08,28.12
batch_test_044,0.6952305896122372,2.031,1.449,0.71,9.5,17.86
batch_test_2252,0.6943890698747234,2.29,1.584,0.727,10.21,18.21
batch_test_255,0.6938412827967204,2.133,1.537,0.707,7.72,14.85
batch_test_8894,0.693646521794181,2.169,1.43,0.645,9.2,17.51
batch_test_9468,0.6933099289414043,1.936,1.344,0.775,10.04,19.97
batch_test_5612,0.6932835471748111,2.011,1.432,0.731,8.95,17.97
batch_test_1026,0.6930410157267867,1.927,1.371,0.743,8.8,16.08
batch_test_6352,0.6928283169515603,2.095,1.487,0.726,10.09,24.35
batch_test_1437,0.6924597575438922,2.527,1.769,0.884,11.2,39.02
batch_test_5322,0.6920901588272725,1.986,1.363,0.797,11.28,23.39
batch_test_247,0.6920244462577237,2.029,1.391,0.634,8.59,18.67
batch_test_9508,0.6920051461749267,2.265,1.417,0.804,9.69,57.33
batch_test_9322,0.6919848719011251,1.934,1.465,0.773,7.21,14.33
batch_test_2161,0.6919333059346758,2.049,1.492,0.749,9.05,20.13
batch_test_9593,0.6918596452689293,1.855,1.212,0.633,8.98,17.76
batch_test_9797,0.6917060635629222,2.082,1.443,0.604,10.2,20.05
batch_test_4919,0.6916772518084733,2.154,1.551,0.775,12.91,34.35
batch_test_8875,0.6915836943480844,2.199,1.572,0.691,10.45,19.65
batch_test_5911,0.6913613082539374,2.005,1.456,0.859,10.8,18.52
batch_test_8506,0.6913087355968985,2.315,1.449,0.591,8.41,18.75
batch_test_8967,0.691305437451754,2.004,1.403,0.744,12.21,27.95
batch_test_2829,0.6912319677856449,2.157,1.583,0.63,11.67,20.89
batch_test_4284,0.691215766068301,2.245,1.505,0.761,7.88,16.66
batch_test_5802,0.6909965331824217,2.085,1.397,0.747,8.99,19.17
batch_test_7453,0.6909627380912784,2.228,1.405,0.787,11.0,25.35
batch_test_2244,0.6908732600839411,1.873,1.347,0.752,7.72,15.78
batch_test_3275,0.6908682524724806,1.705,1.212,0.698,10.06,19.17
batch_test_2798,0.6905286008653592,2.204,1.549,0.694,8.89,16.85
batch_test_4356,0.6904814835893327,2.067,1.465,0.767,10.13,18.01
batch_test_4322,0.6904426098657649,1.812,1.332,0.768,9.62,18.23
batch_test_4389,0.6902939842918596,2.253,1.546,0.742,12.13,33.74
batch_test_6304,0.6900016886813242,1.975,1.352,0.731,8.81,17.86
batch_test_5479,0.6898959243206563,2.39,1.61,0.85,12.41,40.8
batch_test_6338,0.689883826038901,2.254,1.506,0.675,12.64,27.34
batch_test_1591,0.6894928683630329,2.687,1.707,0.809,9.53,18.17
batch_test_6602,0.6894868323088096,2.085,1.363,0.746,9.82,21.12
batch_test_644,0.6892564455276954,2.102,1.47,0.799,13.35,47.71
batch_test_5112,0.6891033367285514,2.476,1.556,0.581,9.76,21.13
batch_test_820,0.6889424577655181,2.59,1.615,0.532,8.72,17.9
batch_test_3188,0.6888130416722476,2.249,1.51,0.653,8.87,16.87
batch_test_8907,0.6887570190790139,2.06,1.334,0.661,9.03,18.36
batch_test_7759,0.6885812464249371,2.337,1.652,0.844,11.76,38.42
batch_test_7145,0.6885593151266476,2.221,1.505,0.719,8.95,17.41
batch_test_9000,0.6885467904174511,2.201,1.493,0.788,14.02,64.53
batch_test_4030,0.6884943632063322,2.634,1.627,0.872,13.84,61.17
batch_test_2716,0.6884287616647786,2.165,1.444,0.74,9.65,19.13
batch_test_6837,0.6884127930449514,2.078,1.439,0.845,8.43,17.45
batch_test_8276,0.6881412078508442,2.011,1.448,0.803,10.88,22.52
batch_test_4528,0.6879838905571202,2.129,1.499,0.765,8.83,17.12
batch_test_7064,0.6879812064133812,2.005,1.436,0.794,9.28,16.94
batch_test_7420,0.6879534475725373,2.357,1.543,0.738,10.26,18.61
batch_test_547,0.6878830124265422,2.244,1.548,0.864,12.94,43.4
batch_test_8688,0.6878475686497936,1.971,1.514,0.674,8.45,16.5
batch_test_9310,0.6878112453386389,2.266,1.717,0.717,12.89,27.47
batch_test_8717,0.6877144395505317,2.306,1.714,0.866,10.24,31.34
batch_test_8259,0.6877126938431628,2.035,1.356,0.845,13.4,28.56
batch_test_4019,0.687463990668626,1.927,1.474,0.787,11.85,20.36
batch_test_8107,0.6874277937783697,2.112,1.492,0.8,9.66,19.58
batch_test_7893,0.687379645573752,2.192,1.579,0.693,11.72,23.83
batch_test_2325,0.6873758145998083,2.199,1.487,0.709,9.9,20.34
batch_test_6519,0.6873514639441837,2.056,1.414,0.77,10.89,18.18
batch_test_6889,0.6872063167073176,2.24,1.644,0.808,11.44,25.02
batch_test_1638,0.6870343038544497,2.005,1.469,0.65,9.17,17.36
batch_test_9704,0.6870055168357335,2.565,1.628,0.864,10.59,48.88
batch_test_915,0.6868895367739333,2.036,1.385,0.641,8.71,15.7
batch_test_3229,0.6867947713010509,1.769,1.295,0.673,9.79,17.79
batch_test_7212,0.6866751456381308,1.989,1.339,0.799,12.86,44.72
batch_test_5375,0.6865558683380371,2.233,1.519,0.792,10.04,18.62
batch_test_4730,0.6863324845134045,1.876,1.298,0.696,9.22,16.96
batch_test_6388,0.6861840592659408,2.287,1.586,0.668,11.19,30.41
batch_test_1099,0.6861829073962079,1.8,1.269,0.809,9.7,17.59
batch_test_2854,0.685699740491244,1.949,1.397,0.797,9.93,18.12
batch_test_9364,0.6855052409239063,2.0,1.375,0.7,10.09,18.88
batch_test_7695,0.685493564789858,2.085,1.4,0.775,8.73,17.29
batch_test_2820,0.6853799784908853,2.378,1.578,0.65,8.23,16.93
batch_test_5241,0.6853259193925895,2.431,1.688,0.84,8.69,16.81
batch_test_2007,0.6850569458035535,2.12,1.584,0.846,12.17,38.04
batch_test_3810,0.6849835446904914,2.235,1.674,0.801,10.88,20.3
batch_test_393,0.6847960697130321,2.108,1.43,0.815,8.25,16.33
batch_test_4239,0.6846633679923682,1.994,1.378,0.71,9.48,16.95
batch_test_4705,0.6845176650961124,2.079,1.377,0.792,9.23,17.68
batch_test_5512,0.6844742758400256,1.913,1.364,0.689,8.13,17.57
batch_test_9551,0.684460770597523,2.268,1.497,0.833,8.64,17.87
batch_test_4938,0.6843769459362441,1.964,1.428,0.683,9.39,17.24
batch_test_3518,0.6843683075886705,2.131,1.407,0.786,9.14,19.04
batch_test_1184,0.6841231337629656,1.943,1.438,0.686,12.02,21.52
batch_test_1068,0.6840927167820101,2.144,1.543,0.709,8.5,15.23
batch_test_7681,0.684045871808317,2.046,1.502,0.711,8.65,16.59
batch_test_9943,0.6839247792891089,1.85,1.342,0.769,7.19,15.72
batch_test_9190,0.6839240015379066,1.99,1.407,0.74,9.1,16.73
batch_test_3536,0.6838995373316938,2.283,1.682,0.858,9.92,29.91
batch_test_2305,0.6837668000543567,1.875,1.361,0.762,9.09,18.67
batch_test_4649,0.6837037997381052,2.463,1.75,0.866,10.15,19.39
