Run_ID,Reverb_Base_SIR,Reverb_Base_SINR,Reverb_Base_PESQ_NB,Reverb_Base_PESQ_WB,Reverb_Base_STOI,Reverb_Oracle_SIR,Reverb_Oracle_SINR,Reverb_Oracle_PESQ_NB,Reverb_Oracle_PESQ_WB,Reverb_Oracle_STOI,NoReverb_Base_SIR,NoReverb_Base_SINR,NoReverb_Base_PESQ_NB,NoReverb_Base_PESQ_WB,NoReverb_Base_STOI,NoReverb_Oracle_SIR,NoReverb_Oracle_SINR,NoReverb_Oracle_PESQ_NB,NoReverb_Oracle_PESQ_WB,NoReverb_Oracle_STOI
batch_test_306,-0.02,-2.14,1.391,1.039,0.674,28.13,8.27,2.921,1.549,0.926,-0.01,-2.15,1.268,1.032,0.815,34.81,9.21,2.417,1.384,0.948
batch_test_307,0.02,-2.09,1.586,1.090,0.645,21.98,7.18,2.296,1.361,0.896,0.00,-2.12,1.444,1.062,0.739,27.08,7.42,2.007,1.232,0.920
batch_test_308,-0.01,-2.13,1.345,1.025,0.566,24.03,6.45,2.228,1.111,0.855,-0.00,-2.13,1.208,1.022,0.625,27.31,7.25,1.980,1.113,0.862
batch_test_309,0.02,-2.10,1.316,1.039,0.573,23.19,6.41,2.243,1.131,0.883,0.04,-2.10,1.243,1.035,0.704,25.59,7.20,2.032,1.110,0.916
batch_test_310,-0.00,-2.11,1.304,1.036,0.602,21.88,7.49,2.365,1.388,0.889,0.04,-2.09,1.205,1.036,0.711,26.09,8.41,2.151,1.288,0.916
batch_test_311,0.00,-2.12,1.267,1.054,0.574,25.92,8.18,1.735,1.242,0.793,-0.05,-2.17,1.235,1.042,0.693,30.71,8.52,1.492,1.103,0.845
batch_test_312,0.02,-2.12,1.331,1.057,0.520,31.67,8.60,2.018,1.268,0.778,0.00,-2.12,1.206,1.043,0.546,38.66,8.85,1.746,1.172,0.779
batch_test_313,-0.01,-2.14,1.547,1.118,0.542,29.50,9.73,2.526,1.622,0.845,0.00,-2.13,1.476,1.092,0.616,30.85,9.84,2.402,1.502,0.866
batch_test_314,0.02,-2.10,1.342,1.066,0.558,26.92,7.29,2.152,1.361,0.848,-0.02,-2.12,1.303,1.046,0.610,31.34,7.28,1.923,1.158,0.846
batch_test_315,0.02,-2.11,1.206,1.037,0.584,26.75,8.91,1.760,1.223,0.846,-0.01,-2.13,1.129,1.030,0.664,30.60,9.67,1.468,1.087,0.865
batch_test_316,-0.03,-2.12,1.889,1.133,0.681,27.62,8.28,2.532,1.446,0.888,-0.03,-2.14,1.786,1.112,0.641,29.57,8.47,2.317,1.295,0.770
batch_test_317,0.01,-2.12,1.216,1.027,0.493,26.95,8.60,2.154,1.392,0.852,-0.02,-2.15,1.151,1.020,0.595,31.16,9.47,1.989,1.259,0.882
batch_test_318,0.04,-2.11,1.231,1.023,0.593,20.01,8.23,2.603,1.534,0.900,-0.01,-2.13,1.157,1.022,0.716,23.81,9.65,2.299,1.436,0.925
batch_test_319,0.03,-2.09,1.477,1.056,0.626,22.58,8.32,3.061,1.981,0.915,0.01,-2.13,1.370,1.040,0.745,26.95,9.46,2.538,1.666,0.947
batch_test_320,0.02,-2.11,1.472,1.096,0.646,30.59,11.02,2.954,2.118,0.934,-0.05,-2.16,1.291,1.052,0.753,35.47,11.56,2.319,1.660,0.942
batch_test_321,0.02,-2.12,1.381,1.045,0.595,22.10,6.55,1.933,1.205,0.808,-0.01,-2.12,1.280,1.036,0.694,22.63,6.65,1.672,1.103,0.852
batch_test_322,-0.01,-2.14,1.381,1.048,0.452,30.02,9.78,2.454,1.725,0.802,-0.01,-2.15,1.309,1.035,0.566,33.04,9.46,2.111,1.424,0.835
