Run_ID,Performance_Score,Raw_PESQ_NB,Raw_PESQ_WB,Raw_STOI,Raw_SINR,Raw_SIR
batch_test_6362,0.7175260462590902,2.205,1.558,0.792,7.01,19.77
batch_test_2800,0.717497514661361,2.344,1.418,0.838,11.14,32.05
batch_test_6217,0.7174824033920781,2.081,1.415,0.74,8.0,23.78
batch_test_7077,0.7174819774835949,2.275,1.611,0.811,6.94,18.2
batch_test_6691,0.7174705946450846,2.743,1.687,0.808,13.22,25.3
batch_test_5085,0.7173230215044569,2.194,1.479,0.735,7.85,17.34
batch_test_8732,0.7171429735627134,2.142,1.59,0.76,9.42,22.83
batch_test_5724,0.7171426444429541,2.337,1.601,0.806,8.65,20.33
batch_test_4385,0.7169693663436338,2.235,1.665,0.788,9.39,23.23
batch_test_6887,0.7169502764272707,2.061,1.534,0.797,8.78,24.04
batch_test_3491,0.7166697852443928,2.263,1.484,0.677,13.32,30.84
batch_test_9373,0.7164725838443493,1.978,1.378,0.731,8.0,16.65
batch_test_3284,0.7164020701620507,2.288,1.686,0.786,12.56,30.61
batch_test_2775,0.716362149120919,2.028,1.414,0.709,6.62,19.72
batch_test_7482,0.7161996789444149,1.929,1.39,0.74,8.16,18.16
batch_test_046,0.7161993499685846,2.172,1.42,0.774,7.09,19.3
batch_test_5919,0.7159668827061755,1.954,1.433,0.701,7.53,19.85
batch_test_3421,0.7158930865564378,2.092,1.471,0.735,12.48,31.68
batch_test_9463,0.7158387386086802,2.074,1.56,0.738,9.68,23.85
batch_test_6749,0.7157082223633016,1.868,1.372,0.692,7.21,18.56
batch_test_5290,0.7155757417287697,2.412,1.675,0.725,12.04,30.77
batch_test_5348,0.7155611432429534,2.101,1.576,0.821,11.52,41.0
batch_test_223,0.7155331275557126,2.076,1.471,0.685,6.4,18.25
batch_test_9602,0.715461743128553,2.024,1.469,0.782,8.7,19.2
batch_test_1386,0.7154547757390908,1.984,1.424,0.728,6.03,17.86
batch_test_6114,0.7152166263498619,1.875,1.42,0.687,9.15,22.16
batch_test_7114,0.7151702525809103,2.304,1.552,0.798,12.94,34.89
batch_test_2493,0.7151445948032297,2.126,1.489,0.733,9.53,26.68
batch_test_9385,0.7151245798225725,2.215,1.452,0.618,11.08,20.83
batch_test_4253,0.7151039210706893,1.933,1.38,0.798,6.81,15.43
batch_test_6135,0.7150748674456067,1.961,1.301,0.642,7.91,19.98
batch_test_9589,0.7150485324098375,2.089,1.409,0.646,8.24,17.63
batch_test_4689,0.7149584403030964,2.281,1.562,0.788,6.6,16.11
batch_test_2706,0.7149153395003149,2.34,1.456,0.809,6.14,16.98
batch_test_7759,0.7148501614205622,2.468,1.707,0.83,10.77,34.01
batch_test_5749,0.7146531198537469,2.163,1.494,0.81,6.96,15.95
batch_test_7154,0.7145967208405988,2.507,1.854,0.828,8.94,28.39
batch_test_4228,0.7145147205944382,2.148,1.496,0.663,7.85,19.19
batch_test_1131,0.714405171678159,2.188,1.556,0.802,9.78,28.73
batch_test_4111,0.7143149594648671,2.293,1.524,0.828,8.02,23.95
batch_test_8956,0.714055926138498,1.978,1.448,0.667,7.13,15.94
batch_test_9107,0.7139505330844131,2.231,1.514,0.657,8.28,19.35
batch_test_117,0.7139376052690788,1.79,1.341,0.725,9.46,21.84
batch_test_8446,0.713879879998532,1.896,1.326,0.73,6.95,18.16
batch_test_7303,0.7138511461198176,2.469,1.808,0.825,10.28,33.27
batch_test_6204,0.7136887588290073,1.874,1.435,0.663,7.12,18.75
batch_test_3060,0.7136544456897732,1.784,1.337,0.708,7.1,14.7
batch_test_9456,0.7136228200628976,2.124,1.584,0.795,9.28,26.07
batch_test_9760,0.7134105506098342,2.234,1.536,0.77,7.4,21.01
batch_test_473,0.7133100110290304,2.098,1.447,0.771,6.19,19.95
batch_test_393,0.71326848371015,2.313,1.61,0.771,6.67,16.73
batch_test_8984,0.7130011187296764,2.126,1.478,0.741,7.52,18.1
batch_test_6672,0.7129921393740005,2.08,1.441,0.637,7.78,20.19
batch_test_9269,0.7129296310444089,2.35,1.642,0.824,8.07,18.12
batch_test_9004,0.7127614560409058,1.998,1.436,0.721,8.15,18.79
batch_test_9811,0.712578394947368,2.349,1.456,0.825,10.69,37.44
batch_test_7306,0.7125256932493144,2.025,1.548,0.716,7.99,18.92
batch_test_3077,0.7124467920664417,2.41,1.67,0.805,9.76,29.82
batch_test_4963,0.7123616390543032,1.95,1.374,0.581,7.96,20.01
batch_test_1111,0.7122141916936304,1.753,1.391,0.678,7.73,16.93
batch_test_2332,0.7121131560791897,2.131,1.491,0.755,8.17,17.13
batch_test_5246,0.7117666656659326,2.22,1.663,0.793,10.57,26.4
batch_test_7839,0.7116554996893476,1.887,1.371,0.647,6.94,18.72
batch_test_7920,0.7115852386354526,1.892,1.307,0.638,9.32,19.58
batch_test_3518,0.7115834479177285,2.025,1.425,0.72,9.01,20.4
batch_test_3035,0.7115789867663996,2.08,1.423,0.814,6.1,15.15
batch_test_2326,0.7115398798435821,2.006,1.464,0.76,8.94,21.96
batch_test_9954,0.7110307680911857,2.209,1.468,0.774,8.2,19.92
batch_test_7318,0.7110171006327506,2.574,1.837,0.787,8.95,26.64
batch_test_9876,0.7110165554270733,2.477,1.724,0.817,10.97,33.49
batch_test_4029,0.7109881166778247,2.241,1.632,0.812,10.39,33.22
batch_test_8542,0.710863357209114,2.181,1.46,0.73,7.26,16.76
batch_test_1541,0.7107913361897006,1.92,1.371,0.706,8.53,17.68
batch_test_1980,0.710768012947929,2.436,1.67,0.799,9.02,27.65
batch_test_1052,0.7107521720913131,2.252,1.645,0.711,7.21,16.96
batch_test_8339,0.7105612160925937,2.253,1.556,0.73,8.45,20.72
batch_test_9805,0.7104455170092507,2.089,1.466,0.793,7.56,21.66
batch_test_5791,0.7102557939726624,2.018,1.399,0.802,10.61,34.73
batch_test_1271,0.7101646616220351,2.203,1.53,0.763,7.12,33.32
batch_test_9322,0.7101362064096642,1.913,1.415,0.675,6.37,16.14
batch_test_7592,0.7098358589769262,2.436,1.575,0.739,9.56,19.09
batch_test_8852,0.7096745193056235,2.113,1.551,0.801,11.58,37.98
batch_test_2953,0.7095472564414013,2.201,1.623,0.846,13.24,40.05
batch_test_6989,0.709524987508232,2.208,1.618,0.8,7.29,18.38
batch_test_5977,0.7094836081542645,2.231,1.66,0.792,8.16,19.06
batch_test_3229,0.7092369437528578,1.861,1.405,0.626,9.38,20.58
batch_test_8085,0.7091376165235421,2.16,1.54,0.755,7.6,16.79
batch_test_1038,0.7090486524495363,2.056,1.517,0.726,7.51,17.35
batch_test_8484,0.7089300664028894,1.831,1.439,0.635,6.27,15.23
batch_test_1663,0.7088742514715632,2.221,1.476,0.736,9.0,20.31
batch_test_5590,0.7088453161493904,2.283,1.743,0.787,12.12,33.38
batch_test_7869,0.708776538627953,1.978,1.379,0.729,6.99,17.51
batch_test_518,0.7083845366887331,2.396,1.583,0.764,9.82,39.19
batch_test_781,0.7083709490294081,1.994,1.444,0.653,6.18,15.78
batch_test_7213,0.7083526546388492,2.134,1.464,0.747,7.29,18.45
batch_test_1552,0.7082933779770725,2.011,1.516,0.618,10.17,43.61
batch_test_4711,0.7081886701015219,2.077,1.519,0.757,7.17,14.84
batch_test_172,0.7081882186224089,2.369,1.566,0.718,8.7,18.03
batch_test_2132,0.7081727977322236,2.405,1.68,0.774,9.06,29.47
batch_test_5536,0.7079086530166102,2.113,1.389,0.752,7.84,17.7
batch_test_4801,0.7078859724509831,2.182,1.524,0.83,6.93,16.17
batch_test_264,0.7077408323425962,1.97,1.338,0.791,6.23,18.17
batch_test_5524,0.7077188202967991,1.868,1.398,0.699,7.45,19.82
batch_test_8180,0.7076599440050146,2.504,1.592,0.791,8.86,22.86
batch_test_8123,0.7075784309211197,1.98,1.447,0.737,7.24,18.78
batch_test_1854,0.7075712294019919,2.194,1.442,0.818,5.95,16.34
batch_test_9360,0.7075019345485924,1.92,1.396,0.732,6.07,14.8
batch_test_1600,0.7073457418424522,2.18,1.451,0.791,10.99,32.06
batch_test_228,0.70730256220104,2.148,1.563,0.716,8.97,18.84
batch_test_2102,0.7072917799901078,2.107,1.419,0.808,7.61,18.13
batch_test_3485,0.7071384654087113,2.071,1.456,0.677,7.44,17.46
batch_test_9943,0.707095365488498,1.751,1.317,0.719,6.67,20.34
batch_test_2647,0.7070693929571893,2.111,1.532,0.679,7.39,14.61
batch_test_8991,0.7070553242491315,2.067,1.384,0.617,8.11,21.18
batch_test_4839,0.7070155783261444,1.857,1.417,0.75,6.54,16.26
batch_test_8876,0.7069944778336958,2.093,1.426,0.722,7.47,19.15
batch_test_5525,0.7068404380610491,2.459,1.618,0.777,7.73,18.31
batch_test_261,0.7068097041334196,2.144,1.626,0.733,8.16,18.82
batch_test_4390,0.7067841113702938,2.158,1.497,0.804,8.08,17.62
batch_test_8759,0.7066639165262751,2.064,1.383,0.792,11.77,31.2
batch_test_2919,0.7066258505316577,2.148,1.57,0.677,7.27,18.26
batch_test_8243,0.7065901383278068,2.073,1.477,0.733,10.18,23.92
batch_test_4019,0.7065146930264835,1.925,1.552,0.707,9.05,18.53
batch_test_7823,0.7064964078568899,1.918,1.394,0.718,7.76,19.07
batch_test_6573,0.7063719714734754,2.309,1.655,0.83,7.56,17.57
batch_test_9736,0.7063624047998116,2.01,1.414,0.739,6.49,15.53
batch_test_4692,0.7062663282670266,2.184,1.587,0.816,7.18,16.7
batch_test_3117,0.7060716646818748,1.944,1.425,0.659,11.49,25.36
batch_test_208,0.7060401051799061,1.958,1.422,0.568,8.27,20.8
batch_test_133,0.7060254260293957,2.039,1.478,0.778,6.04,16.35
batch_test_168,0.7059433189049373,2.329,1.566,0.754,7.38,17.37
batch_test_5254,0.705839049298356,2.311,1.586,0.808,7.03,19.5
batch_test_5573,0.7057076064600959,2.442,1.678,0.694,7.37,22.08
batch_test_6258,0.7056472752917972,2.25,1.56,0.787,8.0,15.83
batch_test_2112,0.7056283800954501,2.053,1.416,0.753,7.36,18.03
batch_test_5827,0.7056246681436035,1.878,1.361,0.776,6.43,14.99
batch_test_7816,0.7055241877312026,2.102,1.523,0.758,8.26,17.12
batch_test_2791,0.7054655958434123,2.332,1.669,0.827,7.76,22.05
batch_test_2558,0.7054235742146215,2.116,1.459,0.687,8.69,21.17
batch_test_1892,0.7052874396790896,2.753,1.72,0.828,8.76,28.32
batch_test_3540,0.7052751021016924,2.329,1.772,0.74,13.0,34.38
batch_test_8203,0.7049331656370109,2.232,1.488,0.727,8.47,17.94
batch_test_5294,0.7048399570013745,2.03,1.418,0.752,6.57,17.27
batch_test_1611,0.7047648237633555,1.989,1.326,0.734,7.01,16.61
batch_test_6623,0.7046896119711037,2.037,1.509,0.717,6.77,15.4
batch_test_882,0.7046415710305058,2.695,1.711,0.789,8.34,19.37
batch_test_939,0.7045871788811057,2.03,1.435,0.757,6.93,16.33
batch_test_6527,0.7043314241795825,2.318,1.59,0.873,9.63,28.41
batch_test_6722,0.7042716171279026,2.232,1.596,0.67,7.77,15.86
batch_test_7963,0.7041765692711027,2.395,1.584,0.783,8.42,19.64
batch_test_8122,0.7041095861935683,1.939,1.381,0.666,7.25,18.32
batch_test_9334,0.7040247850745747,1.904,1.356,0.679,7.88,18.16
batch_test_1769,0.7039343293631106,2.248,1.571,0.783,10.33,24.49
batch_test_4181,0.7039297920110196,2.306,1.318,0.783,7.54,20.62
batch_test_7287,0.7036553688586085,1.991,1.441,0.713,7.86,20.63
batch_test_4741,0.7036374090406178,2.02,1.411,0.718,7.72,24.56
batch_test_5043,0.7035898039901969,2.245,1.617,0.771,9.3,25.89
batch_test_6449,0.7035301427501168,1.994,1.408,0.642,6.97,18.14
batch_test_1792,0.7034185309947417,2.206,1.55,0.83,6.82,16.0
batch_test_7273,0.7034126924426854,1.873,1.39,0.694,6.24,14.87
batch_test_7468,0.7033445003940876,1.974,1.39,0.718,7.3,17.64
batch_test_8887,0.7033156664258593,1.966,1.43,0.675,9.18,18.93
batch_test_9485,0.703280697210486,1.928,1.368,0.613,6.57,16.73
batch_test_3521,0.7030802374123438,2.423,1.692,0.804,11.51,33.16
batch_test_9054,0.702968615985328,1.987,1.442,0.734,8.15,18.73
batch_test_4822,0.7026641086759795,2.135,1.486,0.75,7.21,16.96
batch_test_9141,0.7026441126841155,2.352,1.685,0.807,7.73,17.08
